There are a total of 783 landmasses
--------------------------------------------------------
For rt = 0.950000:
--------------------------------------------------------
Degree distributions:
With 963 degrees: 0
With 964 degrees: 0
With 965 degrees: 0
With 966 degrees: 0
With 967 degrees: 0
With 968 degrees: 0
With 969 degrees: 0
With 970 degrees: 0
With 971 degrees: 0
With 972 degrees: 0
With 973 degrees: 0
With 974 degrees: 0
With 975 degrees: 0
With 976 degrees: 0
With 977 degrees: 0
With 978 degrees: 0
With 979 degrees: 0
With 980 degrees: 0
With 981 degrees: 0
With 982 degrees: 0
With 983 degrees: 0
With 984 degrees: 0
With 985 degrees: 0
With 986 degrees: 0
With 987 degrees: 0
With 988 degrees: 0
With 989 degrees: 0
With 990 degrees: 0
With 991 degrees: 0
With 992 degrees: 0
With 993 degrees: 0
With 994 degrees: 0
With 995 degrees: 0
With 996 degrees: 0
With 997 degrees: 0
With 998 degrees: 0
With 999 degrees: 0
With 1000 degrees: 0
With 1001 degrees: 0
With 1002 degrees: 0
With 1003 degrees: 0
With 1004 degrees: 0
With 1005 degrees: 0
With 1006 degrees: 0
With 1007 degrees: 0
With 1008 degrees: 0
With 1009 degrees: 0
With 1010 degrees: 0
With 1011 degrees: 0
With 1012 degrees: 0
With 1013 degrees: 0
With 1014 degrees: 0
With 1015 degrees: 0
With 1016 degrees: 0
With 1017 degrees: 0
With 1018 degrees: 0
With 1019 degrees: 0
With 1020 degrees: 0
With 1021 degrees: 0
With 1022 degrees: 0
With 1023 degrees: 0
With 1024 degrees: 0
With 1025 degrees: 0
With 1026 degrees: 0
With 1027 degrees: 0
With 1028 degrees: 0
With 1029 degrees: 0
With 1030 degrees: 0
With 1031 degrees: 0
With 1032 degrees: 0
With 1033 degrees: 0
With 1034 degrees: 0
With 1035 degrees: 0
With 1036 degrees: 0
With 1037 degrees: 0
With 1038 degrees: 0
With 1039 degrees: 0
With 1040 degrees: 0
With 1041 degrees: 0
With 1042 degrees: 0
With 1043 degrees: 0
With 1044 degrees: 0
With 1045 degrees: 0
With 1046 degrees: 0
With 1047 degrees: 0
With 1048 degrees: 0
With 1049 degrees: 0
With 1050 degrees: 0
With 1051 degrees: 0
With 1052 degrees: 0
With 1053 degrees: 0
With 1054 degrees: 0
With 1055 degrees: 0
With 1056 degrees: 0
With 1057 degrees: 0
With 1058 degrees: 0
With 1059 degrees: 0
With 1060 degrees: 0
With 1061 degrees: 0
With 1062 degrees: 0
With 1063 degrees: 0
With 1064 degrees: 0
With 1065 degrees: 0
With 1066 degrees: 0
With 1067 degrees: 0
With 1068 degrees: 0
With 1069 degrees: 0
With 1070 degrees: 0
With 1071 degrees: 0
With 1072 degrees: 0
With 1073 degrees: 0
With 1074 degrees: 0
With 1075 degrees: 0
With 1076 degrees: 0
With 1077 degrees: 0
With 1078 degrees: 0
With 1079 degrees: 0
With 1080 degrees: 0
With 1081 degrees: 0
With 1082 degrees: 0
With 1083 degrees: 0
With 1084 degrees: 0
With 1085 degrees: 0
With 1086 degrees: 0
With 1087 degrees: 0
With 1088 degrees: 0
With 1089 degrees: 0
With 1090 degrees: 0
With 1091 degrees: 0
With 1092 degrees: 0
With 1093 degrees: 0
With 1094 degrees: 0
With 1095 degrees: 0
With 1096 degrees: 0
With 1097 degrees: 0
With 1098 degrees: 0
With 1099 degrees: 0
With 1100 degrees: 0
With 1101 degrees: 0
With 1102 degrees: 0
With 1103 degrees: 0
With 1104 degrees: 0
With 1105 degrees: 0
With 1106 degrees: 0
With 1107 degrees: 0
With 1108 degrees: 0
With 1109 degrees: 0
With 1110 degrees: 0
With 1111 degrees: 0
With 1112 degrees: 0
With 1113 degrees: 0
With 1114 degrees: 0
With 1115 degrees: 0
With 1116 degrees: 0
With 1117 degrees: 0
With 1118 degrees: 0
With 1119 degrees: 0
With 1120 degrees: 0
With 1121 degrees: 0
With 1122 degrees: 0
With 1123 degrees: 0
With 1124 degrees: 0
With 1125 degrees: 0
With 1126 degrees: 0
With 1127 degrees: 0
With 1128 degrees: 0
With 1129 degrees: 0
With 1130 degrees: 0
With 1131 degrees: 0
With 1132 degrees: 0
With 1133 degrees: 0
With 1134 degrees: 0
With 1135 degrees: 0
With 1136 degrees: 0
With 1137 degrees: 0
With 1138 degrees: 0
With 1139 degrees: 0
With 1140 degrees: 0
With 1141 degrees: 0
With 1142 degrees: 0
With 1143 degrees: 0
With 1144 degrees: 0
With 1145 degrees: 0
With 1146 degrees: 0
With 1147 degrees: 0
With 1148 degrees: 0
With 1149 degrees: 0
With 1150 degrees: 0
With 1151 degrees: 0
With 1152 degrees: 0
With 1153 degrees: 0
With 1154 degrees: 0
With 1155 degrees: 0
With 1156 degrees: 0
With 1157 degrees: 0
With 1158 degrees: 0
With 1159 degrees: 0
With 1160 degrees: 0
With 1161 degrees: 0
With 1162 degrees: 0
With 1163 degrees: 0
With 1164 degrees: 0
With 1165 degrees: 0
With 1166 degrees: 0
With 1167 degrees: 0
With 1168 degrees: 0
With 1169 degrees: 0
With 1170 degrees: 0
With 1171 degrees: 0
With 1172 degrees: 0
With 1173 degrees: 0
With 1174 degrees: 0
With 1175 degrees: 0
With 1176 degrees: 0
With 1177 degrees: 0
With 1178 degrees: 0
With 1179 degrees: 0
With 1180 degrees: 0
With 1181 degrees: 0
With 1182 degrees: 0
With 1183 degrees: 0
With 1184 degrees: 0
With 1185 degrees: 0
With 1186 degrees: 0
With 1187 degrees: 0
With 1188 degrees: 0
With 1189 degrees: 0
With 1190 degrees: 0
With 1191 degrees: 0
With 1192 degrees: 0
With 1193 degrees: 0
With 1194 degrees: 0
With 1195 degrees: 0
With 1196 degrees: 0
With 1197 degrees: 0
With 1198 degrees: 0
With 1199 degrees: 0
With 1200 degrees: 0
With 1201 degrees: 0
With 1202 degrees: 0
With 1203 degrees: 0
With 1204 degrees: 0
With 1205 degrees: 0
With 1206 degrees: 0
With 1207 degrees: 0
With 1208 degrees: 0
With 1209 degrees: 0
With 1210 degrees: 0
With 1211 degrees: 0
With 1212 degrees: 0
With 1213 degrees: 0
With 1214 degrees: 0
With 1215 degrees: 0
With 1216 degrees: 0
With 1217 degrees: 0
With 1218 degrees: 0
With 1219 degrees: 0
With 1220 degrees: 0
With 1221 degrees: 0
With 1222 degrees: 0
With 1223 degrees: 0
With 1224 degrees: 0
With 1225 degrees: 0
With 1226 degrees: 0
